     cSp mSp cAr mAr borrados_cSp borrados_mSp  borrados_cAr  borrados_mAr
773    0  10   0  10           10           10            10             0
774    0   0  10   0            0            0            10            10
775   10  10   0  10            0            0            10             0
776    0   0   0 100            0            0             0           100
777    0 100   0   0            0          100           100           100
778  100   0 100 100          100          100           100             0
779    0 100   0   0            0            0           100             0
780    0   0   0 100          100            0             0           100
781    0   0 100 100            0          100             0             0
782    0   0 100   0            0          100           100           100
783    0   0   0   0            0            0           100           100
784    0 100 100   0          100          100             0           100
785    0 100   0 100            0          100             0           100
786  100 100 100   0            0            0           100             0
787    0   0 100 100          100          100             0           100
788    0   0 100   0            0            0             0             1
789    0   0   0   1            0            1             0             0
790    0   1   1   1            1            0             1             1
791    1   1   1   0            0            1             0             0
792    0   0   1   0            0            0             0             1
793    1   0   0   1            0            0             1             1
794    0   1   0   0            0            0             1             0
795    0   1   1   1            0            0             0             0
796    0   0   1   1            0            1             1             0
797    1   1   0   1            0            1             0             1
798    0   1   0   1            1            1             1             0
799    0   0   1   0            0            0             1             1
800    1   1   0   1            0            0             1             0
801   10  10  10  10           10           10            10            10
802   10  10  10  10           10           10            10            10
803   10  10  10  10           10           10            10            10
804   10  10  10  10           10           10            10            10
805   10  10  10  10           10           10            10            10
806   10  10  10  10           10           10            10            10
807   10  10  10  10           10           10            10            10
808   10  10  10  10           10           10            10            10
809   10  10  10  10           10           10            10            10
810   10  10  10  10           10           10            10            10
811   10  10  10  10           10           10            10            10
812   10  10  10  10           10           10            10            10
813   10  10  10  10           10           10            10            10
814   10  10  10  10           10           10            10            10
815   10  10  10  10           10           10            10            10
816   10  10  10  10           10           10            10            10
817   10  10  10  10           10           10            10            10
818   10  10  10  10           10           10            10            10
819   10  10  10  10           10           10            10            10
820   10  10  10  10           10           10            10            10
821   10  10  10  10           10           10            10            10
822   10  10  10  10           10           10            10            10
823   10  10  10  10           10           10            10            10
824   10  10  10  10           10           10            10            10
825   10  10  10  10           10           10            10            10
826  100 100 100 100          100          100           100           100
827  100 100 100 100          100          100           100           100
828  100 100 100 100          100          100           100           100
829  100 100 100 100          100          100           100           100
830  100 100 100 100          100          100           100           100
831  100 100 100 100          100          100           100           100
832  100 100 100 100          100          100           100           100
833  100 100 100 100          100          100           100           100
834  100 100 100 100          100          100           100           100
835  100 100 100 100          100          100           100           100
836  100 100 100 100          100          100           100           100
837  100 100 100 100          100          100           100           100
838  100 100 100 100            1            1             1             1
839    1   1   1   1            1            1             1             1
840    1   1   1   1            1            1             1             1
841    1   1   1   1            1            1             1             1
842    1   1   1   1            1            1             1             1
843    1   1   1   1            1            1             1             1
844    1   1   1   1            1            1             1             1
845    1   1   1   1            1            1             1             1
846    1   1   1   1            1            1             1             1
847    1   1   1   1            1            1             1             1
848    1   1   1   1            1            1             1             1
849    1   1   1   1            1            1             1             1
850    1   1   1   1            1            1             1             1
851   10  10  10   0           10           10             0             0
852   10  10   0   0           10           10             0            10
853   10   0   0  10           10           10            10             0
854    0   0  10  10           10           10            10             0
855   10   0  10  10            0            0             0            10
856    0   0  10   0            0           10            10             0
857   10   0  10   0           10            0             0            10
858   10   0  10   0            0           10             0            10
859   10  10   0   0            0           10             0             0
860   10  10   0  10           10           10             0            10
861    0   0   0  10           10            0            10            10
862    0  10  10   0           10            0            10            10
863    0   0   0  10           10           10            10             0
864   10  10   0   0           10           10             0             0
865   10  10   0  10           10            0             0            10
866   10  10  10   0            0            0            10            10
867   10  10  10   0           10            0            10            10
868    0   0   0  10            0            0            10             0
869    0  10  10   0           10            0            10             0
870   10   0   0  10           10            0            10             0
871    0  10   0  10           10           10             0             0
872    0  10   0   0           10           10             0            10
873   10  10   0  10            0            0             0            10
874   10   0  10  10            0           10            10             0
875   10   0  10  10            0            0             0            10
876  100 100 100   0          100          100             0             0
877  100 100   0   0          100          100             0           100
878  100   0   0 100          100          100           100             0
879    0   0 100 100          100          100           100             0
880  100   0 100 100            0            0             0           100
881    0   0 100   0            0          100           100             0
882  100   0 100   0          100            0             0           100
883  100   0 100   0            0          100             0           100
884  100 100   0   0            0          100             0             0
885  100 100   0 100          100          100             0           100
886    0   0   0 100          100            0           100           100
887    0 100 100   0          100            0           100           100
888    0   0   0 100            1            1             1             0
889    1   1   0   0            1            1             0             0
890    1   1   0   1            1            0             0             1
891    1   1   1   0            0            0             1             1
892    1   1   1   0            1            0             1             1
893    0   0   0   1            0            0             1             0
894    0   1   1   0            1            0             1             0
895    1   0   0   1            1            0             1             0
896    0   1   0   1            1            1             0             0
897    0   1   0   0            1            1             0             1
898    1   1   0   1            0            0             0             1
899    1   0   1   1            0            1             1             0
900    1   0   1   1            0            0             0             1
901   10  10  10  10           10           10            10            10
902   10  10  10  10           10           10            10            10
903   10  10  10  10           10           10            10            10
904   10  10  10  10           10           10            10            10
905   10  10  10  10           10           10            10            10
906   10  10  10  10           10           10            10            10
907   10  10  10  10           10           10            10            10
908   10  10  10  10           10           10            10            10
909   10  10  10  10           10           10            10            10
910   10  10  10  10           10           10            10            10
911   10  10  10  10           10           10            10            10
912   10  10  10  10           10           10            10            10
913   10  10  10  10           10           10            10            10
914   10  10  10  10           10           10            10            10
915   10  10  10  10           10           10            10            10
916   10  10  10  10           10           10            10            10
917   10  10  10  10           10           10            10            10
918   10  10  10  10           10           10            10            10
919   10  10  10  10           10           10            10            10
920   10  10  10  10           10           10            10            10
921   10  10  10  10           10           10            10            10
922   10  10  10  10           10           10            10            10
923   10  10  10  10           10           10            10            10
924   10  10  10  10           10           10            10            10
925   10  10  10  10           10           10            10            10
926  100 100 100 100          100          100           100           100
927  100 100 100 100          100          100           100           100
928  100 100 100 100          100          100           100           100
929  100 100 100 100          100          100           100           100
930  100 100 100 100          100          100           100           100
931  100 100 100 100          100          100           100           100
932  100 100 100 100          100          100           100           100
933  100 100 100 100          100          100           100           100
934  100 100 100 100          100          100           100           100
935  100 100 100 100          100          100           100           100
936  100 100 100 100          100          100           100           100
937  100 100 100 100          100          100           100           100
938  100 100 100 100            1            1             1             1
939    1   1   1   1            1            1             1             1
940    1   1   1   1            1            1             1             1
941    1   1   1   1            1            1             1             1
942    1   1   1   1            1            1             1             1
943    1   1   1   1            1            1             1             1
944    1   1   1   1            1            1             1             1
945    1   1   1   1            1            1             1             1
946    1   1   1   1            1            1             1             1
947    1   1   1   1            1            1             1             1
948    1   1   1   1            1            1             1             1
949    1   1   1   1            1            1             1             1
950    1   1   1   1            1            1             1             1
951   10   0   0  10           10           10            10            10
952    0  10  10   0            0            0             0             0
953   10  10  10   0           10           10            10             0
954   10   0   0  10           10           10            10            10
955    0   0   0   0           10            0            10            10
956    0  10   0   0            0            0             0             0
957   10  10   0  10            0            0            10             0
958   10   0  10  10            0           10            10             0
959   10   0   0   0            0            0            10             0
960    0   0   0  10            0            0             0             0
961   10   0  10  10            0           10            10             0
962    0  10   0   0           10            0            10            10
963    0   0  10  10           10            0             0            10
964   10  10  10  10            0           10            10             0
965    0   0   0   0           10           10            10             0
966   10  10  10   0           10            0             0            10
967   10  10  10  10            0            0             0             0
968   10   0  10  10            0           10             0             0
969    0   0   0   0           10           10             0            10
970    0   0  10   0           10            0            10            10
971    0  10  10   0           10            0             0             0
972    0   0  10   0            0            0             0            10
973    0   0   0   0           10            0            10            10
974    0  10  10   0            0           10             0             0
975   10   0  10  10            0            0            10            10
976  100   0   0 100          100          100           100           100
977    0 100 100   0            0            0             0             0
978  100 100 100   0          100          100           100             0
979  100   0   0 100          100          100           100           100
980    0   0   0   0          100            0           100           100
981    0 100   0   0            0            0             0             0
982  100 100   0 100            0            0           100             0
983  100   0 100 100            0          100           100             0
984  100   0   0   0            0            0           100             0
985    0   0   0 100            0            0             0             0
986  100   0 100 100            0          100           100             0
987    0 100   0   0          100            0           100           100
988    0   0 100 100            1            0             0             1
989    1   1   1   1            0            1             1             0
990    0   0   0   0            1            1             1             0
991    1   1   1   0            1            0             0             1
992    1   1   1   1            0            0             0             0
993    1   0   1   1            0            1             0             0
994    0   0   0   0            1            1             0             1
995    0   0   1   0            1            0             1             1
996    0   1   1   0            1            0             0             0
997    0   0   1   0            0            0             0             1
998    0   0   0   0            1            0             1             1
999    0   1   1   0            0            1             0             0
1000   1   0   1   1            0            0             1             1
